code,label
ECHE119,"ECHE119 - Chemical Engineering Design 2"
ECHE120,"ECHE120 - Industrial Waste Management and Control"
ECHE121,"ECHE121 - Plant Inspections and Seminars"
ECHE123,"ECHE123 - Solid Waste Management"
ECON103K,"ECON103K - Advanced Macroeconomics"
ECON105K,"ECON105K - Managerial Economics"
ECON11,"ECON11 - Fundamentals of Economics with Taxation"
ECONEL1,"ECONEL1 - Elective 1"
ECONEL2,"ECONEL2 - Elective 2"
ECONEL3,"ECONEL3 - Elective 3"
ECPE103,"ECPE103 - Discrete Mathematics"
ECPE104,"ECPE104 - Object Oriented Programming"
ECPE105,"ECPE105 - Practical Electronics"
ECPE204,"ECPE204 - Fundamentals of Electronic Circuits for CpE (Lec)"
ECPE204L,"ECPE204L - Fundamentals of Electronic Circuits for CpE (Lab)"
ECPE205,"ECPE205 - Software Design"
ECPE206,"ECPE206 - Numerical Methods"
ECPE207,"ECPE207 - Python Programming"
ECPE301,"ECPE301 - Computer Engineering Drafting and Design"
ECPE303,"ECPE303 - Feedback and Control Systems"
ECPE308,"ECPE308 - Basic Occupational Health and Safety"
ECPE309,"ECPE309 - Computer Networks and Security (Lec)"
ECPE309L,"ECPE309L - Computer Networks and Security (Lab)"
ECPE310,"ECPE310 - CpE Laws and Professional Practice"
ECPE311,"ECPE311 - Methods of Research"
ECPE312,"ECPE312 - Microprocessors (Lec)"
ECPE312L,"ECPE312L - Microprocessors (Lab)"
ECPE403,"ECPE403 - Digital Signal Processing (Lec)"
ECPE403L,"ECPE403L - Digital Signal Processing (Lab)"
ECPE406,"ECPE406 - CpE Practice and Design 2"
ECPE407,"ECPE407 - On the Job Training"
ECPE408,"ECPE408 - Seminars and Fieldtrips"
ECULIN101,"ECULIN101 - Culinary"
EDCN103,"EDCN103 - The Teaching Profession"
EDCN104,"EDCN104 - Technology for Teaching and Learning 1"
EDCN107,"EDCN107 - Assessment in Learning 2"
EDCN108,"EDCN108 - The Teacher and the Community, School Culture & Organizational Leadership"
EDCN113,"EDCN113 - Teaching Internship"
EDCN115,"EDCN115 - Intensive LET Preparatory Course 2 ( Specialization)"
EDENG205,"EDENG205 - Principles and Theories of Language Acquisition"
EDENG206,"EDENG206 - Language Programs and Policies in Multilingual Societies"
EDENG207,"EDENG207 - Speech and Theater Arts"
EDENG215,"EDENG215 - Literary Criticism"
EDENG216,"EDENG216 - Campus Journalism"
EDENG217,"EDENG217 - Language Education Research"
EDENG218,"EDENG218 - Technology for Teaching and Learning 2 (Technology in Language Education)"
EDENG219,"EDENG219 - Teaching & Assessment of Literature Studies"
EDENG220,"EDENG220 - Teaching & Assessment of the Macroskills"
EDENG221,"EDENG221 - Teaching & Assessment of Grammar"
EDENG222,"EDENG222 - English for Specific Purposes"
EDENG223,"EDENG223 - Creative Writing"
EE201,"EE201 - Electrical Circuits 1(Lec)"
EE202,"EE202 - Electrical Circuits 2 (Lec)"
EE202L,"EE202L - Electrical Circuits 2 (Lab)"
EE203,"EE203 - Electromagnetics"
EE204,"EE204 - Electronic Circuits, Devices, and Analysis (Lec)"
EE204L,"EE204L - Electronic Circuits, Devices, and Analysis (Lab)"
EE302,"EE302 - Electrical Machines 2 (Lec)"
EE302L,"EE302L - Electrical Machines 2 (Lab)"
EE303,"EE303 - Electrical Apparatus and Devices (Lec)"
EE303L,"EE303L - Electrical Apparatus and Devices (Lab)"
EE307,"EE307 - Microprocessor Systems"
EE308,"EE308 - Feedback and Control Systems"
EE309,"EE309 - EE Law, Codes, and Professional Ethics"
EE310,"EE310 - OJT"
EE407,"EE407 - Distribution Systems/Substation Design (Lec)"
EE407L,"EE407L - Distribution Systems/Substation Design (Lab)"
EE408,"EE408 - Fund of Power Plant Engg Design"
EE409,"EE409 - Research Project"
EE410,"EE410 - Seminars/Colloquia"
EECE103,"EECE103 - Advanced Engineering Mathematics for ECE (Lec)"
EECE103L,"EECE103L - Advanced Engineering Mathematics for ECE (Lab)"
EECE105,"EECE105 - Electronic Circuit Analysis and Design (Lec)"
EECE105L,"EECE105L - Electronic Circuit Analysis and Design (Lab)"
EECE108,"EECE108 - Electronic System and Design (Lec)"
EECE110,"EECE110 - Methods of Research"
EECE111,"EECE111 - Transmission Media and Antenna System and Design (Lec)"
EECE111L,"EECE111L - Transmission Media and Antenna System and Design (Lab)"
EECE112,"EECE112 - Data Communications (Lec)"
EECE112L,"EECE112L - Data Communications (Lab)"
EECE113,"EECE113 - Microprocess, Microcontroller Systems and Design (Lec)"
EECE113L,"EECE113L - Microprocess, Microcontroller Systems and Design (Lab)"
EECE114,"EECE114 - Feedback and Control Systems (Lec)"
EECE114L,"EECE114L - Feedback and Control Systems (Lab)"
EECE118,"EECE118 - Design 2/ Capstone Project 2"
EECE119,"EECE119 - Operating Systems and Advanced Programming Languages (Lec)"
EECE119L,"EECE119L - Operating Systems and Advanced Programming Languages (Lab)"
EECE120,"EECE120 - Seminars/Colloquium"
EECE121,"EECE121 - ECE Laws, Contract, Ethics, Standards and Safety"
EECE202,"EECE202 - Circuits 2 (Lec)"
EECE202L,"EECE202L - Circuits 2 (Lab)"
EECE203,"EECE203 - Electromagnetics"
EED204,"EED204 - Teaching of Math in the Primary Grades"
EED205,"EED205 - Teaching English in the Elementary Grades Through Literature"
EED212,"EED212 - Teaching of Social Studies in Elementary Grades (Philippine History & Government)"
EED213,"EED213 - Pagtuturo ng Filipino sa Elementarya II"
EED214,"EED214 - Edukasyong Pantahanan at Pangkabuhayan with Entrep"
EED215,"EED215 - Content and Pedagogy for the Mother Tongue"
EED216,"EED216 - Teaching of Science in the Elementary Grades (Physics, Earth and Space Science)"
EED217,"EED217 - Good Manners and Right Conduct"
EED218,"EED218 - Edukasyong Pantahanan at Pangkabuhayan"
EED219,"EED219 - Technology for Teaching and Learning in the Elementary Grades"
EED220,"EED220 - Teaching Multi-grade Classes"
EELEC401,"EELEC401 - Professional Elective 1"
EELEC402,"EELEC402 - Professional Elective 2"
EIA2C,"EIA2C - Engineering Intensive Appraisal 2 For ChE"
EIA2E,"EIA2E - Engineering Intensive Appraisal 2 For EE"
EIA3EC,"EIA3EC - Engineering Intensive Appraisal 3 for ECE"
EIA4C,"EIA4C - Engineering Intensive Appraisal 4 For ChE"
EIA4E,"EIA4E - Engineering Intensive Appraisal 4 For EE"
EIA4EC,"EIA4EC - Engineering Intensive Appraisal 4 for ECE"
EMA100,"EMA100 - Algebra and Trigonometry"
EMA101,"EMA101 - Calculus 1"
EMA102,"EMA102 - Calculus 2 (Integral Calculus)"
EMA103,"EMA103 - Differential Equations"
EMA104,"EMA104 - Engineering Data Analysis"
EMA203,"EMA203 - Engineering Math for EE"
EMAT102,"EMAT102 - Structure-Property Relationships in Materials 1"
EMAT107,"EMAT107 - Computer Applications in Materials Engineering"
EMAT108,"EMAT108 - Kinetics of Materials and Processes"
EMAT113,"EMAT113 - Degradation of Materials Lec"
EMAT113L,"EMAT113L - Degradation of Materials Lab"
EMAT114,"EMAT114 - Composite Materials Lec/Materials Elective 2"
EMAT114L,"EMAT114L - Composite Materials Lab"
EMAT115,"EMAT115 - Materials Selection and Plant Design Lec"
EMAT115L,"EMAT115L - Materials Selection and Plant Design Lab"
EMAT117,"EMAT117 - Forensic Engineering"
EMAT119,"EMAT119 - Materials Research Project (or Undergraduate Thesis)"
EMAT120,"EMAT120 - Special Materials (Special Topics)"
EMAT121,"EMAT121 - Quality Assurance"
EMC204,"EMC204 - Introduction to Game Design and Development"
EMC206,"EMC206 - Audio Design and Sound Engineering"
EMC210,"EMC210 - Principles of Animation"
EME401,"EME401 - Graphics Design"
EMP302,"EMP302 - Image and Video Processing"
EMP304,"EMP304 - Advance 2D Animation"
EMP306,"EMP306 - Advance Sound Production"
EMP307,"EMP307 - Capstone 1"
EMP308,"EMP308 - Compositing and Rendering"
EMP309,"EMP309 - Advance 3D Animation"
EMP311,"EMP311 - Texture and Mapping"
EMP314,"EMP314 - Internship"
ENELECT3,"ENELECT3 - E-Commerce"
ENSCI,"ENSCI - Environmental Science"
ENTMND,"ENTMND - The Entrepreneurial Mind"
ENTRP103,"ENTRP103 - Social Entrepreneurship"
ENTRP106,"ENTRP106 - Pricing and Costing"
ENTRP107,"ENTRP107 - Business Plan Preparation"
ENTRP109,"ENTRP109 - Product Development and Market Analysis"
ENTRP110,"ENTRP110 - Business Implementation 2"
ENTRP204,"ENTRP204 - Wholesale and Retail Sales Management"
ETHICS,"ETHICS - Ethics"
ETM201,"ETM201 - Heritage Tourism"
ETM202,"ETM202 - Professional Tour Guiding"
ETOUR101,"ETOUR101 - Tourism Business"
FELECT2,"FELECT2 - Elective 2"
FINMA2,"FINMA2 - Financial Markets"
FL,"FL - Foreign Language"
FL102,"FL102 - Foreign Language 1 (Mandarin)"
FL103,"FL103 - Foreign Language 1 (Spanish)"
FS100,"FS100 - Feasibility Study"
FTECH110,"FTECH110 - Food Processing III (Lecture)"
FTECH110L,"FTECH110L - Food Processing III (Laboratory)"
FTECH111,"FTECH111 - Food Safety"
FTECH113,"FTECH113 - Food Packaging and Labelling (Lecture)"
FTECH113L,"FTECH113L - Food Packaging and Labelling (Laboratory)"
FTECH119,"FTECH119 - Undergraduate Seminar"
FTECH120,"FTECH120 - Thesis"
FTECH121,"FTECH121 - Environmental Sustainability in the Food Industry"
GBOOKS,"GBOOKS - Great Books"
GCHEM,"GCHEM - General Chemistry"
GE101B,"GE101B - Engineering Drawing & CAD"
GE103,"GE103 - Computer-Aided Design"
GE104,"GE104 - Fundamentals of Materials Science and Engineering"
GE105,"GE105 - Environmental Science and Engineering with GIS"
GE107,"GE107 - Engineering Management"
GE108,"GE108 - Technopreneurship 101"
GE111,"GE111 - Dynamics of Rigid Bodies"
GE113,"GE113 - Mechanics of Fluid"
GE201,"GE201 - Computer-Aided Drafting"
GE202,"GE202 - Fundamental of Deformable Bodies"
GE203,"GE203 - Basic Thermodynamics"
GE204,"GE204 - Basic Occupational Safety and Health"
GENSOC,"GENSOC - GE Electives 3 (Gender and Society)"
GSR,"GSR - Good Governance and Social Responsibility"
HML205A,"HML205A - International Cuisine - Lecture"
HML205L,"HML205L - International Cuisine - Laboratory"
HML206A,"HML206A - F&B Operations and Management - Lecture"
HML206L,"HML206L - F&B Operations and Management - Laboratory"
HMP301A,"HMP301A - Kitchen Essentials and Basic Food Preparation - Lecture"
HMP301L,"HMP301L - Kitchen Essentials and Basic Food Preparation - Laboratory"
HMP304,"HMP304 - Supply Chain Management in Hospitality Industry"
HMP307A,"HMP307A - Ergonomics and Facilities Planning for the Hospitality Industry - Lecture"
HMP307L,"HMP307L - Ergonomics and Facilities Planning for the Hospitality Industry - Laboratory"
HMP308A,"HMP308A - Research in Hospitality - Lecture"
HMP310,"HMP310 - Foreign Language 2"
HMPRAC1,"HMPRAC1 - Practicum 1 (F & B Phase)"
HMPRAC2,"HMPRAC2 - Practicum 2 (Hotel Phase)"
HRMGT,"HRMGT - Human Resource Management"
HTB401,"HTB401 - Operations Management in Tourism and Hospitality Industry"
HTC107,"HTC107 - Entrepreneurship in Tourism and Hospitality"
HTC108,"HTC108 - Multicultural Diversity in Workplace for the Tourism Professional"
IBT100,"IBT100 - International Business and Trade"
IDST105,"IDST105 - Social Psychology"
IDST106,"IDST106 - Gender and Sexuality Studies"
IDST107,"IDST107 - Accounting for Non-Accountants"
IDST108,"IDST108 - Entrepreneurial Management"
IDST109,"IDST109 - Graphic Design"
IDST115,"IDST115 - Office Management"
IDST116,"IDST116 - Future Studies"
IDST117,"IDST117 - Corporate Social Responsibility"
IDST118,"IDST118 - Human Resource Management"
IDST119,"IDST119 - Social Research 1"
IDST123,"IDST123 - Events Management"
IDST124,"IDST124 - Interdisciplinary Studies Internship"
IGG,"IGG - Group Guidance 1"
INA2,"INA2 - Intensive Nursing Appraisal 2"
INFOM,"INFOM - Information Management"
INFOT1,"INFOT1 - IT Application Tools in Business (Concepts & Productivity Tools)"
INFOT2,"INFOT2 - Accounting Information System"
INFOT3,"INFOT3 - Auditing in a CIS Environment"
IRS2,"IRS2 - Christian Morality"
IRS3,"IRS3 - Spirituality in the Workplace"
IRS3E,"IRS3E - Religions, Religious Experiences and Spirituality"
ITC103,"ITC103 - Database Management System 2"
ITL304,"ITL304 - System Integration and Architecture 2"
ITP206,"ITP206 - Web Application Development"
ITP209,"ITP209 - Computer Networking 1"
ITP210,"ITP210 - Information Assurance and Security 1"
ITP211,"ITP211 - Mobile Application Development"
ITP213,"ITP213 - Computer Networking 2"
ITP214,"ITP214 - Social Issues & Professional Practices"
ITP215,"ITP215 - Capstone and Research 1"
ITP218,"ITP218 - Quantitative Methods"
ITP221,"ITP221 - Internship"
ITP222,"ITP222 - Project Management"
LITE,"LITE - Living in the IT Era"
LITEB,"LITEB - Living in the IT Era (For Business)"
LOGIC,"LOGIC - Logic"
MACC102,"MACC102 - Performance Manangement Systems"
MACC701,"MACC701 - Accounting Research Methods"
MACC901,"MACC901 - Sustainability and Strategic Audit"
MACRO,"MACRO - Macroeconomics"
MAED205,"MAED205 - Elementary Statistics and Probability"
MAED206,"MAED206 - Calculus 1 with Analytic Geometry"
MAED212,"MAED212 - Research in Mathematics"
MAED214,"MAED214 - Problem Solving, Mathematical Investigations and Modelling"
MAED215,"MAED215 - Abstract Algebra"
MAED216,"MAED216 - Calculus 3"
MAED217,"MAED217 - Modern Geometry"
MAED218,"MAED218 - Principles and Strategies in Teaching Math"
MAED219,"MAED219 - Technology for Teaching and Learning 2 - Instrumentation & Technology in Mathematics"
MAED220,"MAED220 - Assessment and Evaluation in Mathematics"
MATH1D,"MATH1D - College Algebra"
MATH3C,"MATH3C - Analytical Geometry and Calculus"
MATH3DS,"MATH3DS - Discrete Structures"
MATH4PS,"MATH4PS - Probability and Statistics"
MATHMW,"MATHMW - Mathematics in the Modern World"
MBRES100,"MBRES100 - Business Research (Methods, Format and Title Defense)"
MC3,"MC3 - Microbiology and Parasitology"
MKEL3,"MKEL3 - Elective 3"
MRKT100,"MRKT100 - Marketing Management"
MRKT102,"MRKT102 - Pricing Strategy/Business Analytics with LAB"
MRKT103,"MRKT103 - Distribution Management"
MRKT106,"MRKT106 - Advertising"
NCM101A,"NCM101A - Health Assessment"
NCM101AR,"NCM101AR - Health Assessment-RLE"
NCM102A,"NCM102A - Health Education"
NCM103A,"NCM103A - Fundamentals of Nursing Practice"
NCM103AR,"NCM103AR - Fundamentals of Nursing Practice-RLE"
NCM109A,"NCM109A - Care of Mother, Child at Risk or with Problems (Acute and Chronic)"
NCM109AR,"NCM109AR - Care of Mother, Child at Risk or with Problems (Acute and Chronic)-RLE"
NCM110A,"NCM110A - Nursing Informatics"
NCM114A,"NCM114A - Care of Older Adult"
NCM114AR,"NCM114AR - Care of Older Adult-RLE"
NCM115A,"NCM115A - Nursing Research 2"
NCM116A,"NCM116A - Care of Clients with Problems in Nutrition and Gastro-intestinal, Metabolism and Endocrine, Perception and Coordination (Acute and Chronic)"
NCM116AR,"NCM116AR - Care of Clients with Problems in Nutrition and Gastro-intestinal, Metabolism and Endocrine, Perception and Coordination (Acute and Chronic)-RLE"
NCM117A,"NCM117A - Care of Clients with Maladaptive Patterns of Behavior, Acute and Chronic"
NCM121A,"NCM121A - Disaster Nursing"
NCM121AR,"NCM121AR - Disaster Nursing-RLE"
NCM122A,"NCM122A - Intensive Nursing Practicum (Hospital and Community Settings)"
NLOGIC,"NLOGIC - Logic and Critical Thinking"
NSTP2,"NSTP2 - National Service Training Program 2"
OBRES100,"OBRES100 - Business Research"
OMTQM,"OMTQM - Operations Management and TQM"
OPM103,"OPM103 - Project Management"
OPM104,"OPM104 - Costing & Pricing"
OPM105,"OPM105 - Logistics Management"
OPMELECT1,"OPMELECT1 - Elective 1"
OPMELECT2,"OPMELECT2 - Elective 2"
OPMELECT3,"OPMELECT3 - Elective 3"
PANLIP,"PANLIP - Sosyodad at Literatura/Panitikang Panlipunan"
PATHFIT2,"PATHFIT2 - Fitness and Rhythmic Activity/Self Defense"
PATHFIT4,"PATHFIT4 - Individual/Dual Sports and other sports"
PCHEM101C,"PCHEM101C - Physical Chemistry for Engineers 1"
PCOM,"PCOM - Purposive Communication"
PED3,"PED3 - Swimming and Recreation"
PHED205,"PHED205 - Sports and Exercise Psychology"
PHED206,"PHED206 - Applied Motor Control and Learning of Exercise, Sports and Dance"
PHED207,"PHED207 - Curriculum and Assessment in Physical Education and Health Education"
PHED215,"PHED215 - Philippine Traditional Games and Sports"
PHED216,"PHED216 - Swimming and Aquatics"
PHED217,"PHED217 - Coordinated School Health Education Program"
PHED218,"PHED218 - Personal, Community and Environmental Health"
PHED219,"PHED219 - Emergency Preparedness and Safety Management"
PHED220,"PHED220 - Drug Education, Consumer Health Education and Healthy Eating"
PHED221,"PHED221 - Music in the K-12 Curriculum"
PHED222,"PHED222 - Arts in the K-12 Curriculum"
PHED223,"PHED223 - Research"
PHM301A,"PHM301A - Kitchen Essentials and Basic Food Preparation - Lecture"
PHM301L,"PHM301L - Kitchen Essentials and Basic Food Preparation - Laboratory"
PHM302A,"PHM302A - Fundamentals in Lodging Operations - Lecture"
PHM302L,"PHM302L - Fundamentals in Lodging Operations - Laboratory"
PHM303A,"PHM303A - Fundamentals in Food Service Operations - Lecture"
PHM303L,"PHM303L - Fundamentals in Food Service Operations - Laboratory"
PHY101E,"PHY101E - Physics for Engineers (Lecture)"
PHY101EC,"PHY101EC - Physics for Engineers (Lecture)"
PHY101EL,"PHY101EL - Physics for Engineers (Laboratory)"
PICO,"PICO - Philippine Indigenous Communities"
POSCI103,"POSCI103 - Ancient and Medieval Political Theories"
POSCI104,"POSCI104 - Modern Political Theories"
POSCI109,"POSCI109 - Gender and Development"
POSCI110,"POSCI110 - Political Parties and Civil Society"
POSCI111,"POSCI111 - American Government and Politics"
POSCI112,"POSCI112 - Politics and Governance of Asian States (Focused on Southeast Asia)"
POSCI113,"POSCI113 - Government and Politics of Selected European States"
POSCI115,"POSCI115 - Introduction to Political Analysis and Research (Methods of Research)"
POSCI122,"POSCI122 - International and Regional Orgs"
POSCI124,"POSCI124 - Public International Law and Foreign Studies"
POSCI125,"POSCI125 - Geopolitics and International Security Studies"
POSCI127,"POSCI127 - Public Policy and Program Administration"
POSCI130,"POSCI130 - Public Policy and Program Administration (with Integration Project)"
POSCI131,"POSCI131 - Organization and Management"
POSCI132,"POSCI132 - Local Government Administration"
PRMGT100,"PRMGT100 - Project Management"
PROGR2,"PROGR2 - Advanced Programming"
PSLAW101,"PSLAW101 - Intro to Law and the Family Code"
PSLAW103,"PSLAW103 - Labor and Social Legislation"
PSLAW105,"PSLAW105 - Introduction to Constitutional Law with emphasis on the Bill of Rights"
PSPEAK,"PSPEAK - Public Speaking"
PSYC101,"PSYC101 - Psychological Statistics 1 (Descriptive)"
PSYC102,"PSYC102 - Psychological Statistics 2 (Inferential)"
PSYC106,"PSYC106 - Experimental Psychology"
PSYC107,"PSYC107 - Theories of Personality"
PSYC108,"PSYC108 - Cognitive Psychology"
PSYC110,"PSYC110 - Psychological Assessment 2"
PSYC114,"PSYC114 - Abnormal Psychology"
PSYC115,"PSYC115 - Research in Psychology 1"
PSYC118,"PSYC118 - Professional Enrichment Course"
PSYC202,"PSYC202 - Group Dynamics"
PSYC203,"PSYC203 - Clinical Psychology / Counseling"
PSYC206,"PSYC206 - Strategic Human Resource Management"
PTM301,"PTM301 - Global Tourism, Culture and Geography"
PYTHON,"PYTHON - Introduction to Python"
RHIST,"RHIST - Readings in Philippine History"
RIZAL,"RIZAL - Life and Works of Rizal"
